num_doc,title,annee_publication,issn
4983,Emmanuel Berl. Histoire de l'Europe. D'Attila à Tamerlans,1947,2109-9502
4984,Commission Européenne : étude détaillée sur les régions de montagne d'Europe,2004,1760-7426
4985,Le symposium de Würzburg sur la genèse de l'habitat et des structures agraires en Europe (juillet 1966),1969,2108-6478
4986,"Monet Jean-Claude, Polices et sociétés en Europe.",1994,1958-5691
4987,Travailler à l'hôpital en Europe. Apport des comparaisons internationales à la sociologie des organisations,1999,1958-5691
4988,"IIe Colloque sur la vie juive dans l'Europe contemporaine (Bruxelles, 9-12 janvier 1967)",1967,1958-5691
4989,Gérard Richez : Parcs nationaux et tourisme en Europe.,1993,1760-7426
4990,Marcel Otte : Le paléolithique inférieur et moyen en Europe.,1996,1760-7426
4991,"Laurent Carroué, Valère Oth : L'Europe médiane.",1997,1760-7426
4992,"Vaniscotte (Francine), 1990. — 70 millions d'élèves. L'Europe de l'éducation",1990,1968-3936
4993,Les transformations sociales de l'Europe centrale et orientale au cours des années 1950-1971,1974,2259-6100
4994,De l'utopie à la société « pragmatique » : conséquences sociales des réformes économiques en Europe de l'Est,1975,2259-6100
4995,Le conflit entre l'élite dirigeante et l'élite culturelle : l'exemple de l'Europe de l'Est,1978,2259-6100
4996,La dépendance énergétique de l'Europe Orientale vis-à-vis de l'U.R.S.S. : 1945-1981,1983,2259-6100
4997,Chronique des activités du conseil de L'Europe dans le domaine de l'environnement et de l'aménagement du territoire 1998-2003,2004,2513-6097
4998,"Raphaël Romi, L'Europe et la protection juridique de l'environnement, 2004",2004,2513-6097
4999,Crime contre l'environnement et police en Europe : panorama et pistes d'action,2005,2513-6097
5000,Perroy (Henri) - L'Europe devant le Tiers-Monde.,1973,1950-6694
5001,Cameron (Rondo) - La France et le développement économique de l'Europe.,1973,1950-6694
5002,"Allais (Maurice) - L'Europe unie, route de la prospérité.",1961,1950-6694
5003,"Tadeusz Wyrwa, La résistance polonaise et la politique en Europe",1984,2259-6100
5004,Les relations commerciales Est-Ouest et les perspectives pour l'Europe de l'Est et la Yougoslavie,1985,2259-6100
5005,Choix de la monnaie de facturation et commerce de la France avec les pays de l'Europe de l'Est,1985,2259-6100
5006,"Renata Fritsch-Bournazel, L'Allemagne, un enjeu pour l'Europe",1990,2259-6100
5007,"Maurice Vaisse éd., 8 Mai 1945. La victoire en Europe, 1994",1997,2271-7005
5008,Le conte du Chat et de la Chandelle dans l'Europe du moyen âge et en Orient (à suivre),1911,2391-1018
5009,Année européenne de l'environnement « L'Europe des citoyens et l'environnement : Le droit à l'information »,1987,
5010,Environmental Liabilities and Régulation in Europe,1993,
5011,Aspects du théâtre populaire en Europe au XVIe siècle,1990,1969-654
5012,"Jean-Claude Margolin, Erasme, précepteur de l'Europe",1995,1969-654
5013,"Humbert Ligny, L'Occident médiéval. La Belgique et l'Europe, 1948",1948,2271-7005
5014,"Guido A : Mansuelli, Les Civilisations de l'Europe ancienne, 1967",1969,2271-7005
5015,William Olsson (W). — Carte Economique de l'Europe.,1954,1760-7426
5016,Chabot (G.). — L'Europe du Nord et du Nord-Ouest.,1958,1760-7426
5017,"D. Obolensky. The Byzantine Commonwealth. Eastern Europe, 400-1453",1985,2105-2573
5018,"J.-F. Maillard, J Kecskeméti et M. Portalier, L'Europe des Humanistes",1999,1969-654
5019,Le Muséum dHistoire naturelle à Paris et l'Europe des sciences sous la Convention,1973,1969-6582
5020,Juillard (Et.). — L'Europe rhénane. Géographie d'un grand espace.,1969,1760-7426
5021,Esquisse bibliographique sur le clientélisme de parti (avec référence particulière à l'Europe du sud),1989,1777-5396
5022,La spécificité des politiques familiales en Europe [Une application menée à l'aide de microsimulations],1997,2490-7944
5023,"Rondo Cameron, La France et le développement économique de l'Europe 1800-1914",1972,2272-9828
5024,L'accroissement de la stature en France de 1880 à 1960 ; comparaison avec les pays d'Europe occidentale.,1964,1777-5469
5025,Sur les anciens peuples de l'Europe centrale et les Gaulois en particulier.,1877,1777-5469
5026,"Gilbert Py,L'Idée d'Europe au siècle des Lumières., 2004",2005,1760-7892
5027,"Les trois fonctions indo-européennes, l'histoire et l'Europe féodale",1979,1953-8146
5028,"Marc Fumaroli : Quand l'Europe parlait français, 2001",2002,1760-7892
5029,"Catherine II et l'Europe. Sous la direction d'A Davidenkoff, 1997",1999,1760-7892
5030,"Christian Ambrost, L'Europe de 1789 à 1848 (Coll. «Le Fil des Temps»), 1972",1974,1760-7892
5031,La Calabre. Une région sous-développée de l'Europe méditerranéenne,1961,1777-5825
5032,Le Goff (J.) Hérésies et sociétés dans l'Europe pré-industrielle,1969,1777-5825
5033,Lewis (Bernard) Comment l'islam a découvert l'Europe,1991,1777-5825
5034,Gerbod (Paul) L'Europe culturelle et religieuse de 1875 à nos jours,1977,1777-5825
5035,"J. Cuisenier, Ethnologie de l'Europe, suivi d'une réponse de J. Cuisenier.",1993,1953-8103
5036,"A. Fine, Parrains, marraines. La parenté spirituelle en Europe",1995,1953-8103
5037,Concurrence et coopération monétaire en Europe entre les deux guerres,1999,1777-5906
5038,Deux analyses concrètes des mutations dans l'Europe de l'Est : campagnes roumaine et tchèque,1997,1777-5876
5039,"A. Bagnasco et P. Le Gales (dir.), Villes en Europe",1998,1777-5876
5040,Quels atouts pour les petites et moyennes villes en Europe occidentale?,1999,1777-5876
5041,L'Union européenne. De l'Union européenne à l'Europe occidentale,1999,1777-5876
5042,"Les forêts de plaine en Europe : écologie, dynamisme et faits de répartition",2000,1777-5876
5043,Martin Frybes (dir.) - Une nouvelle Europe centrale,2000,1777-5876
5044,Henri Nonn - L'aménagement du territoire en Europe occidentale,2003,1777-5876
5045,Les Céréales mineures du genre Digitaria en Afrique et en Europe (suite),1955,2437-2226
5046,Anthropologues et anthropologies en Europe. Projet de constitution d'un réseau de chercheurs européens,1990,2114-2203
5047,La dimension religieuse dans les relations internationales en Europe au XVIIe siècle (1618-1721),1991,1777-5906
5048,Entreprises et marchés du médicament en Europe occidentale des années 1880 à la fin des années 1960,1998,1777-5906
5049,"Calixte Hudemann-Simon, La conquête de la santé en Europe 1750-1900",2001,1777-5906
5050,L'Europe centrale et les crises européennes (XIXe-XXe siècle),1970,1953-8146
5051,Carte hypsométrique de la partie occidentale de la Russie d'Europe (feuille des Karpathes),1896,1777-5884
5052,W. Rosier. Géographie générale illustrée : L'Europe,1892,2297-5810
5053,"W. William Olsson, Carte économique de l'Europe",1958,1960-601
5054,"René Clozier, L'économie de l'Europe centrale germanique",1948,1960-601
5055,Marc-R. Sauter. Les races de l'Europe,1952,2297-5810
5056,Environmental degradation in the Alps of Western Europe,1985,2297-5810
5057,Qu’est-ce qu’être pauvre aujourd’hui en Europe ? L’analyse du consensus sur les privations,2009,1777-5574
5058,La répression de l'homicide en Europe occidentale (Moyen Age et Temps modernes),1995,1776-2944
5059,L'efficacité des réseaux de villes pour le développement et la diffusion des entreprises multinationales en Europe (1990 - 1996),1997,1958-9557
5060,"Études irlandaises, n°30 n°2, 2005. L'Irlande et l'Europe, sous la direction de Christophe Gillissen.",2005,2259-8863
5061,Fluctuations climatiques et prix céréaliers en Europe du XVIe au XXe siècle,1988,1953-8146
5062,"R. Clozier, L'économie de l'Europe centrale germanique, 1947",1948,1777-5876
5063,"William-Olsson (W) : Carte économique de l'Europe, 1953",1954,1777-5876
5064,"George (Pierre) et Tricart (Jean). L'Europe Centrale, 1954",1955,1777-5876
5065,"Michelin, Europe-Nord, Grandes routes, carte à 1/1000 000",1960,1777-5876
5066,Histoire des relations entre l'Europe et l'Orient du XVIe au XVIIIe siècles,1985,
5067,Histoire des relations entre l'Europe et l'Orient XVIe-XVIIIe siècle,1987,
5068,Histoire des relations entre l'Europe et l'Orient XVIe-XVIIIe siècles,1994,
5069,Histoire des relations entre l'Europe et l'Orient XVIe-XIXe siècles,1994,
5070,Water management in Europe: beyond the privatization debate,1992,1958-9557
5071,"Le train, l'Europe et le service public (Jacques Foumier)",1993,1958-9557
5072,"Diry j.-P., Campagnes d'Europe. Des espaces en mutation",2001,1777-5884
5073,"Nonn H., L'aménagement du territoire en Europe occidentale",2002,1777-5884
5074,Disparités entre nations et disparités au sein des nations en Europe occidentale,1955,1777-5884
5075,Problèmes géographiques de la reconstruction et de l'aménagement des villes en Europe occidentale depuis 1945,1960,1777-5884
5076,Révoltes ou révolutions en Europe aux XIVe et XVe siècles (note critique),1972,1953-8146
5077,"Le Luxembourg, un espace ouvert de l'Europe rhénane, J.M. Gehring",1980,1777-5884
5078,"L'Europe des compétences, Paris, Presses interuniversitaires européennes, 1990",1993,2107-0946
5079,"Maurice Allais , Europe Unie, route de la prospérité",1961,1958-8992
5080,La subdivision du Pléistocène récent et l'apparition du Paléolithique supérieur en Europe centrale,1967,1965-0795
5081,Contribution des cervidés à la chronologie des débuts de l'occupation humaine en Europe occidentale.,1990,1965-0795
5082,La culture littéraire des travailleurs. Autobiographies ouvrières dans l'Europe du XIXe siècle,2001,1953-8146
5083,Survivances ethnographiques au Mexique. Le métalt et le molcajetl. Introduction du metalt en Europe,1909,1957-7842
5084,E. Driault. Napoléon et l' Europe. Le Grand Empire (1809-1812),1926,2295-9068
5085,Coville (Α.). L'Europe occidentale de 1270 à 1380. Deuxième partie : 1328 à 1380,1943,2295-9068
5086,"Fawtier (Robert). L'Europe occidentale de 1270 à 1360. Ie partie, De 1270 à 1328",1944,2295-9068
5087,Ligny (Humbert). L'Occident médiéval. La Belgique et l'Europe,1948,2295-9068
5088,D'une Bundesbank à l'autre ? La Banque centrale allemande comme modèle pour l'Europe,1993,1777-5647
5089,"Les déficits publics en Europe : causes, conséquences ou remèdes à la crise ?",1995,1777-5647
5090,Chronique de sociologie : comparaisons européennes. La jeunesse dans quatre pays d'Europe,2000,1777-5647
5091,"Miyamatsu, Hironori. 2008. La naissance du riche dans l'Europe médiévale",2009,2647-8463
5092,"Hubert Deschamps. L'Europe découvre l'Afrique occidentale, 1794-1900",1968,2275-4954
5093,"A travers l'Europe [Q71, Culte et iconographie des Saints Côme et Damien]",2005,1775-3864
5094,"Power, Relations and Networks in Medieval Europe. Introduction",2005,2295-9068
5095,"G. Dottin, Les anciens peuples de l'Europe, 1916",1916,2540-2544
5096,Quelle Europe pour quel monde ? Éléments d'information. 1991,1992,1783-8401
5097,"18. Gliksohn (J.-M.), Iphigénie, de la Grèce antique à l'Europe des lumières",1986,2260-8079
5098,"L'Orient et l'Europe, par le baron Amaury de la Barre de Nanteuil",1898,2261-060
5099,Le monde nouveau : Europe orientale et Proche-Orient - Bulletin bibliographique,1922,2261-060
5100,Walkenburg (Samuel van) Held (Colbert C.) - Europe.,1955,1950-6694
5101,"Revue d'études comparatives Est-Ouest, vol. 6, 1975, n°3. La recherche administrative en Europe.",1975,2259-6100
5102,Etude statistique et théorique de la croissance économique des pays d'Europe orientale (1945-1955),1956,1950-6694
5103,"«L'Église en Europe» : rencontre de doctorants organisée par l'AFOM (Strasbourg, 23-25 avril 2006)",2006,1783-8401
5104,"Les déficits publics en Europe. Causes, conséquences ou remèdes à la crise ?",1995,1950-6694
5105,J. Hajjar. L'Europe et les destinées du Proche-Orient (1815-1848),1972,2105-2573
5106,Peut-on parler d'« activation » de la protection sociale en Europe ?,2002,1958-5691
5107,Quelques repères sur les services publics de radio et télévision en Europe,1988,1950-6694
5108,A propos de L'Europe sans rivages de François Perroux,1955,1950-6694
5109,Les motivations de localisation des investissements internationaux dans l'Europe du Nord-Ouest,1970,1950-6694
5110,"Taux d'intérêts débiteurs et créditeurs en Europe, une approche en termes de causalité",1992,1950-6694
5111,Les positions industrielles de l'Europe à la veille de la Seconde Guerre Mondiale,2000,1950-6694
5112,Southern Europe : from the Periphery to the Center?,2000,1950-6694
5113,L'Union européenne et sa périphérie. Conséquences de l'intégration commerciale de l'Europe centrale,1999,1950-6694
5114,"Henri Mendras, L'avenir des campagnes en Europe occidentale.",1979,1777-537
5115,"Europe, États-Unis, Japon : les options divergentes de la coopération",1997,1963-1359
5116,"Répertoire des bassins sédimentaires : Europe, Asie, Amérique, Afrique, Australie",1971,2613-2737
5117,"Robert Boyer (dir.), La flexibilité du travail en Europe",1987,1963-1359
5118,"Henri Perroy, L'Europe devant le Tiers Monde",1972,1963-1359
5119,"L'échange inégal des ressources humaines : migrations, croissance et crise en Europe",1977,1963-1359
5120,Les « réactions païennes » dans le nord de l'Europe au milieu du XIe siècle,2002,2117-6809
5121,Le baroque en Pologne et en Europe : colloque tenu à l'INALCO,1992,2117-718
5122,"Karnoouh Claude, l'Europe postcommuniste : essai sur la globalisation",2005,2117-718
5123,"Placide Rambaud, Les fondements de l'Europe agraire.",1995,1777-537
5124,Interview de Borja Sitja; Directeur de la programmation de l'Odéon-Théâtre de l'Europe,1994,2496-7467
5125,"Alexandre Bourmeyster, L'Europe au regard des intellectuels russes, 2001",2003,2496-7467
5126,"J. Horring, Le problème du financement des réformes de l'agriculture en Europe.",1972,1777-537
5127,"Seidman Steven, Le libéralisme et la théorie sociale en Europe",1988,1950-6678
5128,Les grands commencements de l'Europe plan Marshall (1947) et aide à l'est européen (1990),1991,1950-6678
5129,"Ash Timothy Garton, La chaudière. Europe centrale, 1980-1990",1991,1950-6678
5130,"Vaïsse Maurice (dir.), L'Europe et la crise de Cuba",1995,1950-6678
5131,"Durand Jean-Dominique, L'Europe de la démocratie chrétienne",1996,1950-6678
5132,"Jacques Lévy, L'Europe. Une géographie, 1997, coll. Carré",1998,2613-2737
5133,"Halévy Daniel,L'Europe brisée. Journal et lettres (1914-1918)",1998,1950-6678
5134,"Vingtième Siècle, revue d'histoire, n°66, avril-juin 2000. Religions d'Europe.",2000,1950-6678
5135,Ionescu (Ghita) - L'avenir politique de l'Europe orientale.,1972,1950-6686
5136,Jeux de pouvoir des élites et consolidation de la démocratie en Europe centrale et orientale,2000,1950-6686
5137,Les réalités contre l'idéologie. Classes et nations dans l'Europe socialiste,1969,1950-6686
5138,"Les Français et l'unification politique de l'Europe, d'après un sondage de la SOFRES",1969,1950-6686
5139,Les chartes médiévales enluminées dans les pays d’Europe centrale,2011,1953-8138
5140,Entre le local et l'Europe. La crise du modèle français de politiques publiques,1992,1950-6686
5141,"Friedrich (Carl J.) - Europe, an emergent nation ?",1972,1950-6686
5142,La France entre l'Europe et le monde Le cas des politiques économiques nationales,1999,1950-6686
5143,"Victor-Yves Ghebali, L' OSCE dans l'Europe postcommuniste 1990-1996",1998,1950-6686
5144,Placements des ménages en Europe : le rôle des intermédiaires financiers se transforme en profondeur,2002,1777-5574
5145,Internationalisation et localisation des firmes multinationales : l'exemple des entreprises françaises en Europe,2003,1777-5574
5146,Théorie du producteur en présence de rationnements : application aux quotas laitiers en Europe,1990,2105-2581
5147,Quelles politiques agricoles et agro-alimentaires pour les pays d'Europe de l'Est?,1993,2105-2581
5148,Les nationalités en Slovénie. Changement dans la structure ethnique en Europe centrale.,1994,2104-3752
5149,Libéralisation des fonds de pension en Europe : Un point de vue du parlement européen,1992,1777-5744
5150,Chômage et exportation agricole : le cas des régions ultra périphériques de l'Europe,1995,1777-5795
5151,Transport aérien : bilan de l'expérience américaine de libéralisation et leçon pour l'Europe,1995,1777-5795
5152,Quelle convergence des règles de politique monétaire en Europe avant l’euro ?,2001,1777-5795
5153,"Effet frontière, intégration économique et « Forteresse Europe »",2002,1777-5795
5154,La structure financière des entreprises en Europe : une investigation empirique de la neutralité du bilan,2003,1777-5795
5155,Les politiques du temps de l’enfant en Europe occidentale : tendances et implications,2006,2490-7944
5156,Les migrants exercent-ils une influence croissante sur la fécondité en Europe ?,2010,2490-7944
5157,"Politiques sociales et familiales, n°102, 2010. Dispositifs publics et construction de la jeunesse en Europe.",2010,2490-7944
5158,Banking Systems in Eastern Europe and the CIS,2001,1777-5744
5159,Taxation of Savings in Europe : a multi-product comparison,2001,1777-5744
5160,A psychological portrait of the individual investor in Europe,2001,1777-5744
5161,Les origines de l'appareil policier moderne en Europe de l'Ouest continentale,1980,2296-4096
5162,Aménagement et espace: Types d'organisation de l'espace rural en Russie d'Europe,1977,2105-2581
5163,Origines et mécanismes de reproduction des inégalités régionales de développement agricole en Europe,1982,2105-2581
5164,Les obligations foncières : Un outil pour le refinancement des collectivités locales en Europe,2000,1777-5744
5165,L'Europe bancaire et financière après l'euro : recommandations de l'association Eurofi 2000,2001,1777-5744
5166,Régulation des systèmes de santé : quelques expériences étrangères de réformes en Europe,2004,1777-5744
5167,Une approche pragmatique pour construire l’Europe bancaire : l’exemple de la banque de détail,2005,1777-5744
5168,Les procédures d’introduction en Bourse en Europe : évolution des pratiques et perspectives,2006,1777-5744
5169,Les procédures d’allocation des quotas et la question d’équité (France/Europe),2006,1777-5744
5170,Investissement socialement responsable : différences entre Europe et États-Unis,2006,1777-5744
5171,Éditorial : L'Europe bancaire et financière : une construction en progrès et qui doit être poursuivie,2007,1777-5744
5172,L’intégration des marchés de services financiers de détail en Europe : enjeux et méthodes,2007,1777-5744
5173,Enjeux économiques liés à l’intégration des industries du post-marché en Europe,2007,1777-5744
5174,6. Environnement et répartition des compétences dans les pays membres du Conseil de l'Europe,1996,2102-5940
5175,"Cahiers de la Méditerranée, n°28, 1, 1984. Vienne 1683, l'Empire Ottoman et l'Europe [Actes du colloque]",1984,1773-0201
5176,"L'Europe migratoire au-delà des mots : frontières, citoyenneté, intégration, multiculturalisme",1997,1773-0201
5177,Tout savoir sur le cinéma Statistiques du cinéma en Europe,1992,1778-7459
5178,Les M*A*R*S en Europe ou les moyens d'assurer la responsabilité sociale,1993,1778-7459
5179,La structure juridique du transport aérien en Europe à la veille du marché commun,1957,2105-2948
5180,Les accords entre le Conseil de l'Europe et d'autres organisations intergouvernementales,1958,2105-2948
5181,Ricardo Petrella : La renaissance des cultures régionnales en Europe,1979,2101-0382
5182,Les industries à pièces foliacées en Europe centrale : proposition de synthèse,1995,2101-0420
5183,Exalter l'Empire pour déserter l'Europe : le repli Impérial dans le discours munichois,2000,2275-4954
5184,"Jack Goody, L'évolution de la famille et du mariage en Europe",1986,1777-5892
5185,G. Richez : Parcs nationaux et tourisme en Europe,1987,1760-8538
5186,La reconversion compétitive de l'industrie tunisienne : arrimage à l'Europe et mise à niveau,1997,1760-8538
5187,"Migrations et métamorphoses de l'anguille d'Europe, par Léon Bertin, 1935",1936,2613-2958
5188,J. Landwehr. — Les Orchidées sauvages de France et d'Europe,1984,2613-2958
5189,"Tupinier Yves, 1996. — L'univers acoustique des Chiroptères d'Europe",1997,2613-2958
5190,"La diffusion de la foi en Europe centrale et en Russie, XIVe-XVIIe siècle.",1996,1953-8146
5191,L'Europe Occidentale dans les représentations politiques et mentales des décideurs soviétiques,1993,1952-4226
5192,"Matériaux pour l'histoire de notre temps, n°37-38, 1995. Europe : nouveaux aspects / nouveaux débats.",1995,1952-4226
5193,"Matériaux pour l'histoire de notre temps, n°41-42, 1996. Nation, nationalités et nationalismes en Europe de 1850 à 1920 (I)",1996,1952-4226
5194,"Matériaux pour l'histoire de notre temps, n°43, 1996. Nation, nationalités et nationalismes en Europe de 1850 à 1920 (II)",1996,1952-4226
5195,Témoignages d'exilés et de réfugiés politiques d'Europe Centrale en France après 1945,1996,1952-4226
5196,Daniel Mayer et le problème allemand : projet pour l'Europe d'après-guerre,1998,1952-4226
5197,Les derniers objets en os de l'Europe occidentale (résultats d'une enquête de 1976),1980,
5198,"D. M. Metcalf, Coinage in South Eastern Europe (820-1396).",1981,1963-1693
5199,Les forces aériennes et le désarmement en Europe : trente ans de négociations. 1958-1988,1989,1958-8992
5200,Nation et Europe au XXe siècle : de la sacralisation négative à la sécularisation positive,2000,1958-8992
5201,Europe. Nos 811-812 : Marivaux. Novembre-décembre 1996,1997,1760-7892
5202,"C. Charle, Les intellectuels en Europe au XIXe siècle",1998,1953-8286
5203,G. A. Pordea. Fédéralisme et minorités en Europe orientale,1953,1958-8992
5204,Jean Meynaud et Dusan Sidjanski. L'Europe des affaires,1968,1958-8992
5205,Timothy Garton Ash. La Chaudière. Europe centrale. 1980-1990,1991,1958-8992
5206,Sécurité et instabilités dans l'Europe de demain : vers de nouvelles structures internationales,1991,1958-8992
5207,Walter Rodney. Et l'Europe sous-développa l'Afrique,1986,1958-8992
5208,"Jean-Baptiste Duroselle. L'Europe, histoire de ses peuples",1993,1958-8992
5209,Jean-Marie Domenach. Europe : le défin culturel,1990,1958-8992
5210,Jacques Mouriquand et Laurence Pivot. L'Europe des protestants,1993,1958-8992
5211,Pascal Chaigneau. Europe : la nouvelle donne stratégique,1993,1958-8992
5212,Ernst Nolte. Les mouvements fascistes en Europe de 1919 à 1945,1992,1958-8992
5213,"Jean-Baptiste Duroselle. L'Europe, histoire de ses peuples",1992,1958-8992
5214,Bernard Lewis. Comment l'islam a découvert l'Europe,1991,1958-8992
5215,"Renata Fritsch-Bournazel. L'Allemagne, un enjeu pour l'Europe",1988,1958-8992
5216,Raymond Tourrain. De la défense de la France à la défense de l'Europe,1988,1958-8992
5217,Les relations franco-allemandes et le fait nucléaire dans une Europe divisée,1984,1958-8992
5218,Proche-Orient : la coopération entre l'Europe et les Etats-Unis,1998,1958-8992
5219,"Antoine d'Arjuzon. Castlereagh, 1769-1822, ou le défi de l'Europe de Napoléon",1997,1958-8992
5220,"M.S. Anderson : Historians and eighteenth-century Europe, 1715-1789, 1979",1980,1760-7892
5221,Johan Galtung. Co-operation in Europe,1971,1958-8992
5222,Les travaux du Conseil de l'Europe (Congrès des pouvoirs locaux et régionaux),2011,2102-5940
5223,Corporate Governance Regimes and Employment Relations in Europe,2009,1703-8138
5224,Françoise Gaspard : Les femmes dans la prise de décision en France et en Europe,1997,1705-9240
5225,L’activité inventive en matière de sidérurgie aux États-Unis et en Europe occidentale,1971,1710-3991
5226,La consolidation de l’Europe bleue : nouveau contexte international et nouveaux enjeux,1987,1703-7891
5227,Quelques éléments sur les implications de la stratégie maritime américaine en Europe,1987,1703-7891
5228,La fin de la guerre froide et les États membres du Conseil de l'Europe,1995,1703-7891
5229,La coopération selon le néoréalisme: la cooptation des petits États d'Europe centrale et de l'Est,1995,1703-7891
5230,Les politiques culturelles dans l'Europe communautaire : l'évolution du cadre juridique,1996,1703-7891
5231,Sous les feux croisés de l’histoire et de l’anthropologie : la famille en Europe,1985,1492-1383
5232,"Pumain, Denise et al. (1990) France, Europe du Sud. Géographie universelle",1991,1708-8968
5233,Compositeurs chinois en Europe : entretiens avec Chen Qigang et Wen De-Qing,2002,1488-9692
5234,"Ciné-parcours dans l’Europe contemporaine : routes nécessaires, routes symboliques",2010,1705-6500
5235,"Goldmann, Kjell, Tension and Detente in Bipolar Europe",1976,1703-7891
5236,L’Europe communautaire et la Méditerranée : les cheminements tortueux d’un « grand dessein »,1978,1703-7891
5237,« Oui mais... » L’image de l'Europe selon l'administration Bush : de l'ambivalence à la rigidité,2002,1703-7891
5238,"Battiau M., 1994, Le Commerce international de marchandises de l'Europe occidentale",1995,2547-5614
5239,L'industrie textile face à l'ouverture des marchés : le cas de l'Europe occidentale,1993,2547-5614
5240,Directions astronomiques canoniques des sépultures mégalithiques de Bretagne et de l’Europe atlantique,2009,1760-7361
5241,"Le 4e Colloque des Etudes malaises et indonésiennes en Europe, Leyde, mai 1983",1984,2104-3655
5242,"Le 6e Colloque des Etudes malaises et indonésiennes en Europe (Passau, 22-27 juin 1987)",1988,2104-3655
5243,J.-K Kozlowski L'Art de la Préhistoire en Europe orientale,1993,1760-7361
5244,Briard J. (2000) - Les Cercles de pierres préhistoriques en Europe,2001,1760-7361
5245,Gamble C. (1999) - The Palaeolithic Societies of Europe,2002,1760-7361
5246,Nouvelles conceptions sur les débuts de la métallurgie ancienne en Europe et au Caucase,1965,1760-7361
5247,Production et commerce extérieur de l'endive en Europe : le bilan d'une expansion séculaire,1984,2547-5614
5248,"L'Europe Baltique. J. Zaleski et C. Wojewodka, Europa baltycka, 1977",1979,2547-5614
5249,The security dimensions of international migrations in Europe,1993,1957-7966
5250,La conjoncture démographique : l'Europe et les pays développés d'Outre-Mer,1993,1957-7966
5251,La conjoncture démographique : l'Europe et les pays développés d'Outre-Mer,1992,1957-7966
5252,Une initiative du Conseil de l'Europe : La conférence démographique européenne (30 août-6 septembre 1966),1966,1957-7966
5253,La conjoncture démographique : L'Europe et les pays développés d'Outre-mer,1987,1957-7966
5254,D. Panzac — Quarantaine et lazarets. L'Europe et la peste d'Orient,1988,1957-7966
5255,La conjoncture démographique : l'Europe et les pays développés d'Outre-Mer,1990,1957-7966
5256,La conjoncture démographique : L'Europe et les pays développés D'Outre-Mer,1989,1957-7966
5257,Défense européenne et contrôle démocratique : une tâche pour la Convention sur l'avenir de l'Europe,2002,1958-8992
5258,Minorités nationales en Europe et protection des droits de l'Homme : un enjeu pour l'élargissement,2002,1958-8992
5259,Bichara Khader. L'Europe et la Palestine : des croisades à nos jours,2003,1958-8992
5260,Géographie universelle. Tome I. L'Europe insulaire,1960,1957-7966
5261,George Pierre et Tricart Jean. — L'Europe Centrale,1955,1957-7966
5262,Sauter Marc R. - Les races de l'Europe,1953,1957-7966
5263,Bettelheim Charles. — Esquisse d'un tableau économique de l'Europe,1949,1957-7966
5264,Juillard Etienne — Urbanisation des campagnes en Europe occidentale,1962,1957-7966
5265,Les circuits de distribution en France et en Europe occidentale,1964,1957-7966
5266,Becquet Charles Fr. — L'ethnie française d'Europe,1964,1957-7966
5267,Quelques problèmes de développement de l'enseignement supérieur en Europe,1970,1957-7966
5268,Perroy Henri — L'Europe devant le Tiers Monde,1972,1957-7966
5269,La mortalité due aux accidents d'avion aux Etats-Unis et en Europe de l'Ouest,1973,1957-7966
5270,Pivovarov Ju. L. — La population des pays socialistes d'Europe,1971,1957-7966
5271,Kosinski Leszek A. — The Population of Europe,1971,1957-7966
5272,L'Europe et les pays développés d'outre-mer. Données statistiques,1980,1957-7966
5273,L'Europe et les pays développés d'outre­mer. Données statistiques,1981,1957-7966
5274,Une surmortalité féminine prolongée en Europe : le cas français des Alpes du Sud,1980,1957-7966
5275,La baisse actuelle de la fécondité en Europe s'inscrit-elle dans le modèle de la transition démographique ?,1979,1957-7966
5276,Divorce (le) en Europe occidentale. Données statistiques et juridiques,1976,1957-7966
5277,"Hersent M., Zaidman C. — Genre, travail et migrations en Europe",2004,1957-7966
5278,"Laïcité : une bibliographie sélective (France-Europe-Turquie, XIXe-XXe)",1995,1777-5396
5279,"Rondo Cameron, La France et le développement économique de l'Europe, 1800-1914",1972,1953-8146
5280,"Claude-Gilbert Dubois, Le baroque en Europe et en France, 1995",1996,2273-0311
5281,Comment développer les recherches françaises sur l'histoire de l'Europe orientale,1968,1776-3045
5282,"Georges Castellan, Histoire des peuples de l'Europe centrale",1997,1776-3045
5283,"Ch. Debbasch (sousdir.), La fonction publique en Europe",1982,1953-8111
5284,"Ch. Debb asch (dir. ), La décentralisation en Europe",1983,1953-8111
5285,"Genèses, 35, 1999. L'Europe vue d'ailleurs, sous la direction de Jean Leroy.",1999,1776-2944
5286,Le droit des successions en Europe. Actes du Colloque du 21 février 2003,2004,1953-8111
5287,"La distribution en Europe : les exemples français, allemand, anglais et italien",1995,1953-8111
5288,"Université libre de Bruxelles, Informatique et droit en Europe",1987,1953-8111
5289,"J.-P. Massias, Droit constitutionnel des États d'Europe de l'Est",2000,1953-8111
5290,La diversité des goûts et des pratiques alimentaires en Europe du XVIe au XVIIIe siècle,1983,1776-3045
5291,"Philippe Roqueplo, Pluies acides : menaces pour l'Europe, 1988",1989,1777-5701
5292,"L'universel, le national et le cas de figure. A propos de comparaisons avec des pays d'Europe de l'Est",1989,1777-5701
5293,Le Vatican et les buts de guerre germaniques de 1914 à 1918 : le rêve d'une Europe allemande,1995,1776-3045
5294,"Rémi Hess, La valse. Révolution du couple en Europe",1992,1776-3045
5295,"F. W. Hondius, Emerging data Protection in Europe",1976,1953-8111
